Name,Purpose,Qty,Total (USD),Distributor,Link
SJ-3503-SMT-TR,conector for the soldering tip,1,$0.73,LSCS,https://www.lcsc.com/product-detail/C4992791.html
0.91 inch OLED display,for showing information,1,$2.83,Aliexpress
soldering tip weller RTM lineup,tip for better precision/area,1,$98.67,Aliexpress
